C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
D5:1
D6:1
D7:1
FB1:1
FB2:1
FB3:1
G***:1
H2:1
J11:1
J2:1
J3:1
JP1:1
R13:1
U2:1
U3:1
U4:1
U5:1
U6:1
